Word,ChildesFreq
a,288357
about,27898
above,336
after,5701
airplane,2376
all,43153
alligator,703
am,3851
an,12318
and,219473
animal,1994
ankle,68
another,13076
ant,292
any,10673
apple,4575
applesauce,251
are,66471
arm,1524
around,9287
asleep,745
at,44694
aunt,315
awake,283
away,9439
baby,26439
babysitter,99
back,23549
backyard,206
bad,4651
ball,10177
balloon,4008
banana,2221
basement,211
basket,1222
bat,817
bath,2109
bathroom,493
bathtub,289
be,36526
beach,1234
beads,453
beans,1124
bear,6328
because,28321
bed,6390
bedroom,198
bee,1582
before,4874
behind,2318
belt,536
bench,325
beside,230
better,7538
bib,523
bicycle,594
big,23132
bird,3963
bite,3587
black,3299
blanket,1694
block,1595
blow,2104
blue,7687
boat,2557
book,17169
boots,1009
bottle,3622
bowl,2083
box,5803
boy,12414
bread,3019
break,2373
breakfast,2282
bring,4922
broken,2356
broom,525
brother,1838
brown,2139
brush,2094
bubbles,1554
bucket,578
bug,1334
build,2157
bump,1289
bunny,3578
bus,3474
but,38627
butter,2281
butterfly,1840
buttocks,7
button,1889
buy,3252
by,6825
bye,4914
cake,3655
call,4673
camera,1173
camping,258
can,81978
candy,1523
car,13191
careful,3044
carrots,936
carry,1168
cat,6889
catch,2704
cereal,1701
chair,6211
chalk,286
chase,350
cheek,196
cheerios,117
cheese,5092
chicken,2856
child,591
chin,385
chocolate,3001
church,603
circus,712
clap,1067
clean,3669
climb,1172
clock,1745
close,4445
closet,593
cloud,170
clown,1214
coat,1269
cockadoodledoo,11
coffee,2981
coke,163
cold,3791
comb,892
cook,2113
cookie,5478
corn,1827
couch,957
could,15046
cover,1079
cow,3634
cowboy,848
cracker,1310
crayon,899
crib,461
cry,1349
cup,4696
cut,4310
cute,2090
daddy,7824
dance,1424
dark,1293
day,6764
deer,542
diaper,1662
did,47304
dinner,2857
dirty,2625
dish,526
do,119190
doctor,1750
does,22740
dog,8029
doll,2325
don't,81529
donkey,905
donut,247
door,5587
down,31389
downtown,88
draw,3359
drawer,465
dress,1611
drink,5416
drive,2131
drop,1151
dry,1425
dryer,106
duck,4080
dump,1103
each,1196
ear,1292
eat,23625
egg,3149
elephant,2945
empty,779
every,2052
eye,2274
face,3766
fall,4496
farm,1645
fast,2232
feed,1867
find,8337
fine,2067
finger,2000
finish,2768
fireman,432
firetruck,162
first,7995
fish,4639
fit,2783
fix,3847
flag,234
flower,1439
food,7562
foot,3187
for,52234
fork,1172
friend,2719
frog,2313
full,1579
game,2808
garage,892
garbage,1050
garden,852
gentle,678
get,55904
giraffe,911
girl,7654
give,12501
glass,1402
glasses,1250
gloves,298
glue,557
go,75691
gonna,47989
good,36571
goodnight,20
goose,560
gotta,5461
grandfather,66
grandmother,236
grapes,616
grass,1236
green,7626
grrr,24
gum,885
hair,5939
hamburger,675
hammer,1026
hand,5868
happy,3442
hard,4583
hat,5953
hate,781
have,65685
have to,77
he,91946
head,6369
hear,6468
heavy,1331
helicopter,429
hello,6405
help,9955
hen,291
her,27309
here,73080
hers,277
hi,11856
hide,1240
high,1842
him,25350
his,25613
hit,3098
hold,7114
home,10102
horse,3868
hose,314
hot,5579
house,12439
how,36124
hug,1248
hungry,4808
hurry,941
hurt,4337
i,1611
ice,3361
if,25825
in,121146
inside,3761
into,7228
is,143110
it,244451
jacket,803
jar,346
jeans,117
jello,269
jelly,675
juice,7617
jump,3244
keys,1617
kick,965
kiss,2640
kitchen,2256
kitty,4882
knee,600
knife,1037
knock,2054
ladder,723
lady,2571
lamb,742
lamp,207
last,5177
later,2631
leg,1448
lemme,1058
lick,461
light,4007
like,81858
lion,2111
lips,274
listen,2371
little,38944
lollipop,659
long,5424
look,49438
loud,1025
love,5044
lunch,2582
mad,1199
mailman,224
make,23752
man,6403
me,70247
meat,1611
medicine,858
melon,102
meow,1665
milk,7756
mine,5808
mittens,315
mommy,13123
money,3214
monkey,2180
moo,1820
moon,2959
moose,312
mop,171
more,31381
morning,3840
motorcycle,729
mouse,2011
mouth,5885
movie,1592
much,8804
muffin,553
my,58283
myself,1382
nail,371
nap,1410
napkin,808
naughty,303
necklace,461
need,11987
new,5311
nice,10818
night,5024
no,114490
noisy,432
none,561
noodles,357
nose,4949
not,50005
now,41987
nurse,666
nuts,523
of,70786
off,19796
old,4589
on,104336
open,9582
orange,4705
other,15294
ouch,986
our,7233
out,34760
outside,4762
oven,654
over,23082
owie,198
owl,1598
paint,1665
pajamas,658
pancake,312
pants,2253
paper,4645
park,1273
party,2064
pattycake,313
peas,2257
peekaboo,2642
pen,1442
pencil,1647
penguin,575
penis,143
penny,583
people,7726
person,1687
pick,5082
pickle,636
picnic,810
picture,5361
pig,2926
pillow,1068
pizza,3043
plant,647
plate,2651
play,23855
playground,53
please,10169
police,901
pony,525
pool,929
poor,1250
popcorn,816
popsicle,236
porch,159
potato,698
potty,1028
pour,1251
present,1243
pretend,3631
pretty,7857
pretzel,432
pudding,261
pull,3830
pumpkin,1267
puppy,2234
purse,625
push,4995
put,53094
puzzle,1821
quiet,1296
radio,483
rain,1182
raisin,308
read,12169
red,8896
refrigerator,862
ride,3533
rip,369
rock,1682
roof,556
room,5411
rooster,568
run,2627
sad,1278
salt,860
same,3960
sandbox,267
sandwich,1528
sauce,689
say,25886
scared,1594
scarf,174
school,7562
scissors,660
see,68019
shake,2055
share,945
she,44947
sheep,1867
shh,945
shirt,3028
shoe,2839
shopping,599
shorts,257
shoulder,304
shovel,583
show,7368
shower,521
sick,1647
sidewalk,245
sing,2913
sink,630
sister,1851
sit,12276
skate,115
sky,1194
sled,155
sleep,4142
sleepy,1018
slide,1889
slipper,221
slow,726
smile,432
snack,892
sneaker,46
snow,1692
snowman,478
snowsuit,20
so,44198
soap,797
sock,886
sofa,147
soft,1464
some,39842
soup,1738
spaghetti,1539
spill,775
splash,528
spoon,4181
sprinkler,106
squirrel,495
stairs,1113
stand,3060
star,1154
stay,4513
stick,2615
sticky,802
stone,331
stop,5891
store,2879
story,4924
stove,791
strawberry,1141
street,1523
stroller,337
stuck,2465
sun,2144
sweater,646
sweep,269
swim,1317
swing,1197
table,5074
take,21720
talk,6315
tape,4549
taste,1964
teacher,1692
tear,424
teddybear,13
telephone,1595
that,191866
the,382184
their,6487
them,34489
then,30707
there,77190
these,20111
they,50717
think,41906
thirsty,784
this,140166
those,17865
throw,4536
tickle,1871
tiger,1357
tights,69
time,14532
tiny,1663
tired,2325
tissue,473
to,156045
toast,1440
today,7689
toe,775
tomorrow,2355
tongue,939
tonight,1483
too,27169
tooth,591
toothbrush,340
touch,3071
towel,1063
toy,3448
tractor,1052
train,4342
trash,716
tray,468
tree,4124
tricycle,175
truck,6002
try,8765
tummy,1132
tuna,339
turkey,809
turtle,1693
tv,1969
uncle,418
under,4182
underpants,131
up,54783
us,6145
vacuum,382
vagina,27
vanilla,336
vitamins,172
vroom,742
wait,9184
wake,1139
walk,3670
walker,85
wanna,47390
want to,109
was,48927
wash,2862
watch,8487
water,10814
we,77346
were,13840
wet,2397
what,174499
when,26270
where,33042
which,6710
white,3644
who,21093
why,26999
will,13320
wind,825
window,2059
windy,163
wipe,1216
wish,998
with,54749
wolf,478
woods,288
work,5148
would,17772
write,4576
yard,496
yellow,5468
yes,30814
yesterday,2121
yogurt,1054
you,448218
your,74880
yourself,2405
yucky,893
zebra,1126
zipper,378
zoo,2104
